id,name_ja,name_en,dex_no,generation,type1_ja,type2_ja,hp,attack,defense,sp_attack,sp_defense,speed,base_total,ability1_ja,ability2_ja,hidden_ability_ja,height_m,weight_kg,is_legendary,is_mythical
338,ソルロック,solrock,338,第三世代,いわ,エスパー,90,95,85,55,65,70,460,ふゆう,,,1.2,154.0,False,False
339,ドジョッチ,barboach,339,第三世代,みず,じめん,50,48,43,46,41,60,288,どんかん,きけんよち,うるおいボディ,0.4,1.9,False,False
340,ナマズン,whiscash,340,第三世代,みず,じめん,110,78,73,76,71,60,468,どんかん,きけんよち,うるおいボディ,0.9,23.6,False,False
341,ヘイガニ,corphish,341,第三世代,みず,,43,80,65,50,35,35,308,かいりきバサミ,シェルアーマー,てきおうりょく,0.6,11.5,False,False
342,シザリガー,crawdaunt,342,第三世代,みず,あく,63,120,85,90,55,55,468,かいりきバサミ,シェルアーマー,てきおうりょく,1.1,32.8,False,False
343,ヤジロン,baltoy,343,第三世代,じめん,エスパー,40,40,55,40,70,55,300,ふゆう,,,0.5,21.5,False,False
344,ネンドール,claydol,344,第三世代,じめん,エスパー,60,70,105,70,120,75,500,ふゆう,,,1.5,108.0,False,False
345,リリーラ,lileep,345,第三世代,いわ,くさ,66,41,77,61,87,23,355,きゅうばん,,よびみず,1.0,23.8,False,False
346,ユレイドル,cradily,346,第三世代,いわ,くさ,86,81,97,81,107,43,495,きゅうばん,,よびみず,1.5,60.4,False,False
347,アノプス,anorith,347,第三世代,いわ,むし,45,95,50,40,50,75,355,カブトアーマー,,すいすい,0.7,12.5,False,False
348,アーマルド,armaldo,348,第三世代,いわ,むし,75,125,100,70,80,45,495,カブトアーマー,,すいすい,1.5,68.2,False,False
349,ヒンバス,feebas,349,第三世代,みず,,20,15,20,10,55,80,200,すいすい,どんかん,てきおうりょく,0.6,7.4,False,False
350,ミロカロス,milotic,350,第三世代,みず,,95,60,79,100,125,81,540,ふしぎなうろこ,かちき,メロメロボディ,6.2,162.0,False,False
351,ポワルン,castform,351,第三世代,ノーマル,,70,70,70,70,70,70,420,てんきや,,,0.3,0.8,False,False
352,カクレオン,kecleon,352,第三世代,ノーマル,,60,90,70,60,120,40,440,へんしょく,,へんげんじざい,1.0,22.0,False,False
353,カゲボウズ,shuppet,353,第三世代,ゴースト,,44,75,35,63,33,45,295,ふみん,おみとおし,のろわれボディ,0.6,2.3,False,False
354,ジュペッタ,banette,354,第三世代,ゴースト,,64,115,65,83,63,65,455,ふみん,おみとおし,のろわれボディ,1.1,12.5,False,False
355,ヨマワル,duskull,355,第三世代,ゴースト,,20,40,90,30,90,25,295,ふゆう,,おみとおし,0.8,15.0,False,False
356,サマヨール,dusclops,356,第三世代,ゴースト,,40,70,130,60,130,25,455,プレッシャー,,おみとおし,1.6,30.6,False,False
357,トロピウス,tropius,357,第三世代,くさ,ひこう,99,68,83,72,87,51,460,ようりょくそ,サンパワー,しゅうかく,2.0,100.0,False,False
358,チリーン,chimecho,358,第三世代,エスパー,,75,50,80,95,90,65,455,ふゆう,,,0.6,1.0,False,False
359,アブソル,absol,359,第三世代,あく,,65,130,60,75,60,75,465,プレッシャー,きょううん,せいぎのこころ,1.2,47.0,False,False
360,ソーナノ,wynaut,360,第三世代,エスパー,,95,23,48,23,48,23,260,かげふみ,,テレパシー,0.6,14.0,False,False
361,ユキワラシ,snorunt,361,第三世代,こおり,,50,50,50,50,50,50,300,せいしんりょく,アイスボディ,ムラっけ,0.7,16.8,False,False
362,オニゴーリ,glalie,362,第三世代,こおり,,80,80,80,80,80,80,480,せいしんりょく,アイスボディ,ムラっけ,1.5,256.5,False,False
363,タマザラシ,spheal,363,第三世代,こおり,みず,70,40,50,55,50,25,290,あついしぼう,アイスボディ,どんかん,0.8,39.5,False,False
364,トドグラー,sealeo,364,第三世代,こおり,みず,90,60,70,75,70,45,410,あついしぼう,アイスボディ,どんかん,1.1,87.6,False,False
365,トドゼルガ,walrein,365,第三世代,こおり,みず,110,80,90,95,90,65,530,あついしぼう,アイスボディ,どんかん,1.4,150.6,False,False
366,パールル,clamperl,366,第三世代,みず,,35,64,85,74,55,32,345,シェルアーマー,,びびり,0.4,52.5,False,False
367,ハンテール,huntail,367,第三世代,みず,,55,104,105,94,75,52,485,すいすい,,みずのベール,1.7,27.0,False,False
368,サクラビス,gorebyss,368,第三世代,みず,,55,84,105,114,75,52,485,すいすい,,うるおいボディ,1.8,22.6,False,False
369,ジーランス,relicanth,369,第三世代,みず,いわ,100,90,130,45,65,55,485,すいすい,いしあたま,がんじょう,1.0,23.4,False,False
370,ラブカス,luvdisc,370,第三世代,みず,,43,30,55,40,65,97,330,すいすい,,うるおいボディ,0.6,8.7,False,False
371,タツベイ,bagon,371,第三世代,ドラゴン,,45,75,60,40,30,50,300,いしあたま,,ちからずく,0.6,42.1,False,False
372,コモルー,shelgon,372,第三世代,ドラゴン,,65,95,100,60,50,50,420,いしあたま,,ぼうじん,1.1,110.5,False,False
373,ボーマンダ,salamence,373,第三世代,ドラゴン,ひこう,95,135,80,110,80,100,600,いかく,,じしんかじょう,1.5,102.6,False,False
374,ダンバル,beldum,374,第三世代,はがね,エスパー,40,55,80,35,60,30,300,クリアボディ,,ライトメタル,0.6,95.2,False,False
375,メタング,metang,375,第三世代,はがね,エスパー,60,75,100,55,80,50,420,クリアボディ,,ライトメタル,1.2,202.5,False,False
376,メタグロス,metagross,376,第三世代,はがね,エスパー,80,135,130,95,90,70,600,クリアボディ,,ライトメタル,1.6,550.0,False,False
377,レジロック,regirock,377,第三世代,いわ,,80,100,200,50,100,50,580,クリアボディ,,がんじょう,1.7,230.0,True,False
378,レジアイス,regice,378,第三世代,こおり,,80,50,100,100,200,50,580,クリアボディ,,アイスボディ,1.8,175.0,True,False
379,レジスチル,registeel,379,第三世代,はがね,,80,75,150,75,150,50,580,クリアボディ,,ライトメタル,1.9,205.0,True,False
380,ラティアス,latias,380,第三世代,ドラゴン,エスパー,80,80,90,110,130,110,600,ふゆう,,,1.4,40.0,True,False
381,ラティオス,latios,381,第三世代,ドラゴン,エスパー,80,90,80,130,110,110,600,ふゆう,,,2.0,60.0,True,False
382,カイオーガ,kyogre,382,第三世代,みず,,100,100,90,150,140,90,670,あめふらし,,,4.5,352.0,True,False
383,グラードン,groudon,383,第三世代,じめん,,100,150,140,100,90,90,670,ひでり,,,3.5,950.0,True,False
384,レックウザ,rayquaza,384,第三世代,ドラゴン,ひこう,105,150,90,150,90,95,680,エアロック,,,7.0,206.5,True,False
385,ジラーチ,jirachi,385,第三世代,はがね,エスパー,100,100,100,100,100,100,600,てんのめぐみ,,,0.3,1.1,False,True
386,デオキシス,deoxys-normal,386,第三世代,エスパー,,50,150,50,150,50,150,600,プレッシャー,,,1.7,60.8,False,True
387,ナエトル,turtwig,387,第四世代,くさ,,55,68,64,45,55,31,318,しんりょく,,シェルアーマー,0.4,10.2,False,False
388,ハヤシガメ,grotle,388,第四世代,くさ,,75,89,85,55,65,36,405,しんりょく,,シェルアーマー,1.1,97.0,False,False
389,ドダイトス,torterra,389,第四世代,くさ,じめん,95,109,105,75,85,56,525,しんりょく,,シェルアーマー,2.2,310.0,False,False
390,ヒコザル,chimchar,390,第四世代,ほのお,,44,58,44,58,44,61,309,もうか,,てつのこぶし,0.5,6.2,False,False
391,モウカザル,monferno,391,第四世代,ほのお,かくとう,64,78,52,78,52,81,405,もうか,,てつのこぶし,0.9,22.0,False,False
392,ゴウカザル,infernape,392,第四世代,ほのお,かくとう,76,104,71,104,71,108,534,もうか,,てつのこぶし,1.2,55.0,False,False
393,ポッチャマ,piplup,393,第四世代,みず,,53,51,53,61,56,40,314,げきりゅう,,かちき,0.4,5.2,False,False
394,ポッタイシ,prinplup,394,第四世代,みず,,64,66,68,81,76,50,405,げきりゅう,,かちき,0.8,23.0,False,False
395,エンペルト,empoleon,395,第四世代,みず,はがね,84,86,88,111,101,60,530,げきりゅう,,かちき,1.7,84.5,False,False
396,ムックル,starly,396,第四世代,ノーマル,ひこう,40,55,30,30,30,60,245,するどいめ,,すてみ,0.3,2.0,False,False
397,ムクバード,staravia,397,第四世代,ノーマル,ひこう,55,75,50,40,40,80,340,いかく,,すてみ,0.6,15.5,False,False
398,ムクホーク,staraptor,398,第四世代,ノーマル,ひこう,85,120,70,50,60,100,485,いかく,,すてみ,1.2,24.9,False,False
399,ビッパ,bidoof,399,第四世代,ノーマル,,59,45,40,35,40,31,250,たんじゅん,てんねん,ムラっけ,0.5,20.0,False,False
400,ビーダル,bibarel,400,第四世代,ノーマル,みず,79,85,60,55,60,71,410,たんじゅん,てんねん,ムラっけ,1.0,31.5,False,False
401,コロボーシ,kricketot,401,第四世代,むし,,37,25,41,25,41,25,194,だっぴ,,にげあし,0.3,2.2,False,False
402,コロトック,kricketune,402,第四世代,むし,,77,85,51,55,51,65,384,むしのしらせ,,テクニシャン,1.0,25.5,False,False
403,コリンク,shinx,403,第四世代,でんき,,45,65,34,40,34,45,263,とうそうしん,いかく,こんじょう,0.5,9.5,False,False
404,ルクシオ,luxio,404,第四世代,でんき,,60,85,49,60,49,60,363,とうそうしん,いかく,こんじょう,0.9,30.5,False,False
405,レントラー,luxray,405,第四世代,でんき,,80,120,79,95,79,70,523,とうそうしん,いかく,こんじょう,1.4,42.0,False,False
406,スボミー,budew,406,第四世代,くさ,どく,40,30,35,50,70,55,280,しぜんかいふく,どくのトゲ,リーフガード,0.2,1.2,False,False
407,ロズレイド,roserade,407,第四世代,くさ,どく,60,70,65,125,105,90,515,しぜんかいふく,どくのトゲ,テクニシャン,0.9,14.5,False,False
408,ズガイドス,cranidos,408,第四世代,いわ,,67,125,40,30,30,58,350,かたやぶり,,ちからずく,0.9,31.5,False,False
409,ラムパルド,rampardos,409,第四世代,いわ,,97,165,60,65,50,58,495,かたやぶり,,ちからずく,1.6,102.5,False,False
410,タテトプス,shieldon,410,第四世代,いわ,はがね,30,42,118,42,88,30,350,がんじょう,,ぼうおん,0.5,57.0,False,False
411,トリデプス,bastiodon,411,第四世代,いわ,はがね,60,52,168,47,138,30,495,がんじょう,,ぼうおん,1.3,149.5,False,False
412,ミノムッチ,burmy,412,第四世代,むし,,40,29,45,29,45,36,224,だっぴ,,ぼうじん,0.2,3.4,False,False
413,ミノマダム,wormadam-plant,413,第四世代,むし,くさ,60,59,85,79,105,36,424,きけんよち,,ぼうじん,0.5,6.5,False,False
414,ガーメイル,mothim,414,第四世代,むし,ひこう,70,94,50,94,50,66,424,むしのしらせ,,いろめがね,0.9,23.3,False,False
415,ミツハニー,combee,415,第四世代,むし,ひこう,30,30,42,30,42,70,244,みつあつめ,,はりきり,0.3,5.5,False,False
416,ビークイン,vespiquen,416,第四世代,むし,ひこう,70,80,102,80,102,40,474,プレッシャー,,きんちょうかん,1.2,38.5,False,False
417,パチリス,pachirisu,417,第四世代,でんき,,60,45,70,45,90,95,405,にげあし,ものひろい,ちくでん,0.4,3.9,False,False
418,ブイゼル,buizel,418,第四世代,みず,,55,65,35,60,30,85,330,すいすい,,みずのベール,0.7,29.5,False,False
419,フローゼル,floatzel,419,第四世代,みず,,85,105,55,85,50,115,495,すいすい,,みずのベール,1.1,33.5,False,False
420,チェリンボ,cherubi,420,第四世代,くさ,,45,35,45,62,53,35,275,ようりょくそ,,,0.4,3.3,False,False
421,チェリム,cherrim,421,第四世代,くさ,,70,60,70,87,78,85,450,フラワーギフト,,,0.5,9.3,False,False
422,カラナクシ,shellos,422,第四世代,みず,,76,48,48,57,62,34,325,ねんちゃく,よびみず,すなのちから,0.3,6.3,False,False
423,トリトドン,gastrodon,423,第四世代,みず,じめん,111,83,68,92,82,39,475,ねんちゃく,よびみず,すなのちから,0.9,29.9,False,False
424,エテボース,ambipom,424,第四世代,ノーマル,,75,100,66,60,66,115,482,テクニシャン,ものひろい,スキルリンク,1.2,20.3,False,False
425,フワンテ,drifloon,425,第四世代,ゴースト,ひこう,90,50,34,60,44,70,348,ゆうばく,かるわざ,ねつぼうそう,0.4,1.2,False,False
426,フワライド,drifblim,426,第四世代,ゴースト,ひこう,150,80,44,90,54,80,498,ゆうばく,かるわざ,ねつぼうそう,1.2,15.0,False,False
427,ミミロル,buneary,427,第四世代,ノーマル,,55,66,44,44,56,85,350,にげあし,ぶきよう,じゅうなん,0.4,5.5,False,False
428,ミミロップ,lopunny,428,第四世代,ノーマル,,65,76,84,54,96,105,480,メロメロボディ,ぶきよう,じゅうなん,1.2,33.3,False,False
429,ムウマージ,mismagius,429,第四世代,ゴースト,,60,60,60,105,105,105,495,ふゆう,,,0.9,4.4,False,False
430,ドンカラス,honchkrow,430,第四世代,あく,ひこう,100,125,52,105,52,71,505,ふみん,きょううん,じしんかじょう,0.9,27.3,False,False
431,ニャルマー,glameow,431,第四世代,ノーマル,,49,55,42,42,37,85,310,じゅうなん,マイペース,するどいめ,0.5,3.9,False,False
432,ブニャット,purugly,432,第四世代,ノーマル,,71,82,64,64,59,112,452,あついしぼう,マイペース,まけんき,1.0,43.8,False,False
433,リーシャン,chingling,433,第四世代,エスパー,,45,30,50,65,50,45,285,ふゆう,,,0.2,0.6,False,False
434,スカンプー,stunky,434,第四世代,どく,あく,63,63,47,41,41,74,329,あくしゅう,ゆうばく,するどいめ,0.4,19.2,False,False
435,スカタンク,skuntank,435,第四世代,どく,あく,103,93,67,71,61,84,479,あくしゅう,ゆうばく,するどいめ,1.0,38.0,False,False
436,ドーミラー,bronzor,436,第四世代,はがね,エスパー,57,24,86,24,86,23,300,ふゆう,たいねつ,ヘヴィメタル,0.5,60.5,False,False
437,ドータクン,bronzong,437,第四世代,はがね,エスパー,67,89,116,79,116,33,500,ふゆう,たいねつ,ヘヴィメタル,1.3,187.0,False,False
438,ウソハチ,bonsly,438,第四世代,いわ,,50,80,95,10,45,10,290,がんじょう,いしあたま,びびり,0.5,15.0,False,False
439,マネネ,mime-jr,439,第四世代,エスパー,フェアリー,20,25,45,70,90,60,310,ぼうおん,フィルター,テクニシャン,0.6,13.0,False,False
440,ピンプク,happiny,440,第四世代,ノーマル,,100,5,5,15,65,30,220,しぜんかいふく,てんのめぐみ,フレンドガード,0.6,24.4,False,False
441,ペラップ,chatot,441,第四世代,ノーマル,ひこう,76,65,45,92,42,91,411,するどいめ,ちどりあし,はとむね,0.5,1.9,False,False
442,ミカルゲ,spiritomb,442,第四世代,ゴースト,あく,50,92,108,92,108,35,485,プレッシャー,,すりぬけ,1.0,108.0,False,False
443,フカマル,gible,443,第四世代,ドラゴン,じめん,58,70,45,40,45,42,300,すながくれ,,さめはだ,0.7,20.5,False,False
444,ガバイト,gabite,444,第四世代,ドラゴン,じめん,68,90,65,50,55,82,410,すながくれ,,さめはだ,1.4,56.0,False,False
445,ガブリアス,garchomp,445,第四世代,ドラゴン,じめん,108,130,95,80,85,102,600,すながくれ,,さめはだ,1.9,95.0,False,False
446,ゴンベ,munchlax,446,第四世代,ノーマル,,135,85,40,40,85,5,390,ものひろい,あついしぼう,くいしんぼう,0.6,105.0,False,False
447,リオル,riolu,447,第四世代,かくとう,,40,70,40,35,40,60,285,ふくつのこころ,せいしんりょく,いたずらごころ,0.7,20.2,False,False
448,ルカリオ,lucario,448,第四世代,かくとう,はがね,70,110,70,115,70,90,525,ふくつのこころ,せいしんりょく,せいぎのこころ,1.2,54.0,False,False
449,ヒポポタス,hippopotas,449,第四世代,じめん,,68,72,78,38,42,32,330,すなおこし,,すなのちから,0.8,49.5,False,False
450,カバルドン,hippowdon,450,第四世代,じめん,,108,112,118,68,72,47,525,すなおこし,,すなのちから,2.0,300.0,False,False
451,スコルピ,skorupi,451,第四世代,どく,むし,40,50,90,30,55,65,330,カブトアーマー,スナイパー,するどいめ,0.8,12.0,False,False
452,ドラピオン,drapion,452,第四世代,どく,あく,70,90,110,60,75,95,500,カブトアーマー,スナイパー,するどいめ,1.3,61.5,False,False
453,グレッグル,croagunk,453,第四世代,どく,かくとう,48,61,40,61,40,50,300,きけんよち,かんそうはだ,どくしゅ,0.7,23.0,False,False
454,ドクロッグ,toxicroak,454,第四世代,どく,かくとう,83,106,65,86,65,85,490,きけんよち,かんそうはだ,どくしゅ,1.3,44.4,False,False
455,マスキッパ,carnivine,455,第四世代,くさ,,74,100,72,90,72,46,454,ふゆう,,,1.4,27.0,False,False
456,ケイコウオ,finneon,456,第四世代,みず,,49,49,56,49,61,66,330,すいすい,よびみず,みずのベール,0.4,7.0,False,False
457,ネオラント,lumineon,457,第四世代,みず,,69,69,76,69,86,91,460,すいすい,よびみず,みずのベール,1.2,24.0,False,False
458,タマンタ,mantyke,458,第四世代,みず,ひこう,45,20,50,60,120,50,345,すいすい,ちょすい,みずのベール,1.0,65.0,False,False
459,ユキカブリ,snover,459,第四世代,くさ,こおり,60,62,50,62,60,40,334,ゆきふらし,,ぼうおん,1.0,50.5,False,False
460,ユキノオー,abomasnow,460,第四世代,くさ,こおり,90,92,75,92,85,60,494,ゆきふらし,,ぼうおん,2.2,135.5,False,False
461,マニューラ,weavile,461,第四世代,あく,こおり,70,120,65,45,85,125,510,プレッシャー,,わるいてぐせ,1.1,34.0,False,False
462,ジバコイル,magnezone,462,第四世代,でんき,はがね,70,70,115,130,90,60,535,じりょく,がんじょう,アナライズ,1.2,180.0,False,False
463,ベロベルト,lickilicky,463,第四世代,ノーマル,,110,85,95,80,95,50,515,マイペース,どんかん,ノーてんき,1.7,140.0,False,False
464,ドサイドン,rhyperior,464,第四世代,じめん,いわ,115,140,130,55,55,40,535,ひらいしん,ハードロック,すてみ,2.4,282.8,False,False
465,モジャンボ,tangrowth,465,第四世代,くさ,,100,100,125,110,50,50,535,ようりょくそ,リーフガード,さいせいりょく,2.0,128.6,False,False
466,エレキブル,electivire,466,第四世代,でんき,,75,123,67,95,85,95,540,でんきエンジン,,やるき,1.8,138.6,False,False
467,ブーバーン,magmortar,467,第四世代,ほのお,,75,95,67,125,95,83,540,ほのおのからだ,,やるき,1.6,68.0,False,False
468,トゲキッス,togekiss,468,第四世代,フェアリー,ひこう,85,50,95,120,115,80,545,はりきり,てんのめぐみ,きょううん,1.5,38.0,False,False
469,メガヤンマ,yanmega,469,第四世代,むし,ひこう,86,76,86,116,56,95,515,かそく,いろめがね,おみとおし,1.9,51.5,False,False
470,リーフィア,leafeon,470,第四世代,くさ,,65,110,130,60,65,95,525,リーフガード,,ようりょくそ,1.0,25.5,False,False
471,グレイシア,glaceon,471,第四世代,こおり,,65,60,110,130,95,65,525,ゆきがくれ,,アイスボディ,0.8,25.9,False,False
472,グライオン,gliscor,472,第四世代,じめん,ひこう,75,95,125,45,75,95,510,かいりきバサミ,すながくれ,ポイズンヒール,2.0,42.5,False,False
473,マンムー,mamoswine,473,第四世代,こおり,じめん,110,130,80,70,60,80,530,どんかん,ゆきがくれ,あついしぼう,2.5,291.0,False,False
474,ポリゴンＺ,porygon-z,474,第四世代,ノーマル,,85,80,70,135,75,90,535,てきおうりょく,ダウンロード,アナライズ,0.9,34.0,False,False
475,エルレイド,gallade,475,第四世代,エスパー,かくとう,68,125,65,65,115,80,518,ふくつのこころ,きれあじ,せいぎのこころ,1.6,52.0,False,False
476,ダイノーズ,probopass,476,第四世代,いわ,はがね,60,55,145,75,150,40,525,がんじょう,じりょく,すなのちから,1.4,340.0,False,False
477,ヨノワール,dusknoir,477,第四世代,ゴースト,,45,100,135,65,135,45,525,プレッシャー,,おみとおし,2.2,106.6,False,False
478,ユキメノコ,froslass,478,第四世代,こおり,ゴースト,70,80,70,80,70,110,480,ゆきがくれ,,のろわれボディ,1.3,26.6,False,False
479,ロトム,rotom,479,第四世代,でんき,ゴースト,50,50,77,95,77,91,440,ふゆう,,,0.3,0.3,False,False
480,ユクシー,uxie,480,第四世代,エスパー,,75,75,130,75,130,95,580,ふゆう,,,0.3,0.3,True,False
481,エムリット,mesprit,481,第四世代,エスパー,,80,105,105,105,105,80,580,ふゆう,,,0.3,0.3,True,False
482,アグノム,azelf,482,第四世代,エスパー,,75,125,70,125,70,115,580,ふゆう,,,0.3,0.3,True,False
483,ディアルガ,dialga,483,第四世代,はがね,ドラゴン,100,120,120,150,100,90,680,プレッシャー,,テレパシー,5.4,683.0,True,False
484,パルキア,palkia,484,第四世代,みず,ドラゴン,90,120,100,150,120,100,680,プレッシャー,,テレパシー,4.2,336.0,True,False
485,ヒードラン,heatran,485,第四世代,ほのお,はがね,91,90,106,130,106,77,600,もらいび,,ほのおのからだ,1.7,430.0,True,False
486,レジギガス,regigigas,486,第四世代,ノーマル,,110,160,110,80,110,100,670,スロースタート,,,3.7,420.0,True,False
487,ギラティナ,giratina-altered,487,第四世代,ゴースト,ドラゴン,150,100,120,100,120,90,680,プレッシャー,,テレパシー,4.5,750.0,True,False
488,クレセリア,cresselia,488,第四世代,エスパー,,120,70,110,75,120,85,580,ふゆう,,,1.5,85.6,True,False
489,フィオネ,phione,489,第四世代,みず,,80,80,80,80,80,80,480,うるおいボディ,,,0.4,3.1,False,True
490,マナフィ,manaphy,490,第四世代,みず,,100,100,100,100,100,100,600,うるおいボディ,,,0.3,1.4,False,True
491,ダークライ,darkrai,491,第四世代,あく,,70,90,90,135,90,125,600,ナイトメア,,,1.5,50.5,False,True
492,シェイミ,shaymin-land,492,第四世代,くさ,,100,100,100,100,100,100,600,しぜんかいふく,,,0.2,2.1,False,True
493,アルセウス,arceus,493,第四世代,ノーマル,,120,120,120,120,120,120,720,マルチタイプ,,,3.2,320.0,False,True
494,ビクティニ,victini,494,第五世代,エスパー,ほのお,100,100,100,100,100,100,600,しょうりのほし,,,0.4,4.0,False,True
495,ツタージャ,snivy,495,第五世代,くさ,,45,45,55,45,55,63,308,しんりょく,,あまのじゃく,0.6,8.1,False,False
496,ジャノビー,servine,496,第五世代,くさ,,60,60,75,60,75,83,413,しんりょく,,あまのじゃく,0.8,16.0,False,False
497,ジャローダ,serperior,497,第五世代,くさ,,75,75,95,75,95,113,528,しんりょく,,あまのじゃく,3.3,63.0,False,False
498,ポカブ,tepig,498,第五世代,ほのお,,65,63,45,45,45,45,308,もうか,,あついしぼう,0.5,9.9,False,False
499,チャオブー,pignite,499,第五世代,ほのお,かくとう,90,93,55,70,55,55,418,もうか,,あついしぼう,1.0,55.5,False,False
500,エンブオー,emboar,500,第五世代,ほのお,かくとう,110,123,65,100,65,65,528,もうか,,すてみ,1.6,150.0,False,False
501,ミジュマル,oshawott,501,第五世代,みず,,55,55,45,63,45,45,308,げきりゅう,,シェルアーマー,0.5,5.9,False,False
502,フタチマル,dewott,502,第五世代,みず,,75,75,60,83,60,60,413,げきりゅう,,シェルアーマー,0.8,24.5,False,False
503,ダイケンキ,samurott,503,第五世代,みず,,95,100,85,108,70,70,528,げきりゅう,,シェルアーマー,1.5,94.6,False,False
504,ミネズミ,patrat,504,第五世代,ノーマル,,45,55,39,35,39,42,255,にげあし,するどいめ,アナライズ,0.5,11.6,False,False
505,ミルホッグ,watchog,505,第五世代,ノーマル,,60,85,69,60,69,77,420,はっこう,するどいめ,アナライズ,1.1,27.0,False,False
506,ヨーテリー,lillipup,506,第五世代,ノーマル,,45,60,45,25,45,55,275,やるき,ものひろい,にげあし,0.4,4.1,False,False
507,ハーデリア,herdier,507,第五世代,ノーマル,,65,80,65,35,65,60,370,いかく,すなかき,きもったま,0.9,14.7,False,False
508,ムーランド,stoutland,508,第五世代,ノーマル,,85,110,90,45,90,80,500,いかく,すなかき,きもったま,1.2,61.0,False,False
509,チョロネコ,purrloin,509,第五世代,あく,,41,50,37,50,37,66,281,じゅうなん,かるわざ,いたずらごころ,0.4,10.1,False,False
510,レパルダス,liepard,510,第五世代,あく,,64,88,50,88,50,106,446,じゅうなん,かるわざ,いたずらごころ,1.1,37.5,False,False
511,ヤナップ,pansage,511,第五世代,くさ,,50,53,48,53,48,64,316,くいしんぼう,,しんりょく,0.6,10.5,False,False
512,ヤナッキー,simisage,512,第五世代,くさ,,75,98,63,98,63,101,498,くいしんぼう,,しんりょく,1.1,30.5,False,False
513,バオップ,pansear,513,第五世代,ほのお,,50,53,48,53,48,64,316,くいしんぼう,,もうか,0.6,11.0,False,False
514,バオッキー,simisear,514,第五世代,ほのお,,75,98,63,98,63,101,498,くいしんぼう,,もうか,1.0,28.0,False,False
515,ヒヤップ,panpour,515,第五世代,みず,,50,53,48,53,48,64,316,くいしんぼう,,げきりゅう,0.6,13.5,False,False
516,ヒヤッキー,simipour,516,第五世代,みず,,75,98,63,98,63,101,498,くいしんぼう,,げきりゅう,1.0,29.0,False,False
517,ムンナ,munna,517,第五世代,エスパー,,76,25,45,67,55,24,292,よちむ,シンクロ,テレパシー,0.6,23.3,False,False
518,ムシャーナ,musharna,518,第五世代,エスパー,,116,55,85,107,95,29,487,よちむ,シンクロ,テレパシー,1.1,60.5,False,False
519,マメパト,pidove,519,第五世代,ノーマル,ひこう,50,55,50,36,30,43,264,はとむね,きょううん,とうそうしん,0.3,2.1,False,False
520,ハトーボー,tranquill,520,第五世代,ノーマル,ひこう,62,77,62,50,42,65,358,はとむね,きょううん,とうそうしん,0.6,15.0,False,False
521,ケンホロウ,unfezant,521,第五世代,ノーマル,ひこう,80,115,80,65,55,93,488,はとむね,きょううん,とうそうしん,1.2,29.0,False,False
522,シママ,blitzle,522,第五世代,でんき,,45,60,32,50,32,76,295,ひらいしん,でんきエンジン,そうしょく,0.8,29.8,False,False
523,ゼブライカ,zebstrika,523,第五世代,でんき,,75,100,63,80,63,116,497,ひらいしん,でんきエンジン,そうしょく,1.6,79.5,False,False
524,ダンゴロ,roggenrola,524,第五世代,いわ,,55,75,85,25,25,15,280,がんじょう,くだけるよろい,すなのちから,0.4,18.0,False,False
525,ガントル,boldore,525,第五世代,いわ,,70,105,105,50,40,20,390,がんじょう,くだけるよろい,すなのちから,0.9,102.0,False,False
526,ギガイアス,gigalith,526,第五世代,いわ,,85,135,130,60,80,25,515,がんじょう,すなおこし,すなのちから,1.7,260.0,False,False
527,コロモリ,woobat,527,第五世代,エスパー,ひこう,65,45,43,55,43,72,323,てんねん,ぶきよう,たんじゅん,0.4,2.1,False,False
528,ココロモリ,swoobat,528,第五世代,エスパー,ひこう,67,57,55,77,55,114,425,てんねん,ぶきよう,たんじゅん,0.9,10.5,False,False
529,モグリュー,drilbur,529,第五世代,じめん,,60,85,40,30,45,68,328,すなかき,すなのちから,かたやぶり,0.3,8.5,False,False
530,ドリュウズ,excadrill,530,第五世代,じめん,はがね,110,135,60,50,65,88,508,すなかき,すなのちから,かたやぶり,0.7,40.4,False,False
531,タブンネ,audino,531,第五世代,ノーマル,,103,60,86,60,86,50,445,いやしのこころ,さいせいりょく,ぶきよう,1.1,31.0,False,False
532,ドッコラー,timburr,532,第五世代,かくとう,,75,80,55,25,35,35,305,こんじょう,ちからずく,てつのこぶし,0.6,12.5,False,False
533,ドテッコツ,gurdurr,533,第五世代,かくとう,,85,105,85,40,50,40,405,こんじょう,ちからずく,てつのこぶし,1.2,40.0,False,False
534,ローブシン,conkeldurr,534,第五世代,かくとう,,105,140,95,55,65,45,505,こんじょう,ちからずく,てつのこぶし,1.4,87.0,False,False
535,オタマロ,tympole,535,第五世代,みず,,50,50,40,50,40,64,294,すいすい,うるおいボディ,ちょすい,0.5,4.5,False,False
536,ガマガル,palpitoad,536,第五世代,みず,じめん,75,65,55,65,55,69,384,すいすい,うるおいボディ,ちょすい,0.8,17.0,False,False
537,ガマゲロゲ,seismitoad,537,第五世代,みず,じめん,105,95,75,85,75,74,509,すいすい,どくしゅ,ちょすい,1.5,62.0,False,False
538,ナゲキ,throh,538,第五世代,かくとう,,120,100,85,30,85,45,465,こんじょう,せいしんりょく,かたやぶり,1.3,55.5,False,False
539,ダゲキ,sawk,539,第五世代,かくとう,,75,125,75,30,75,85,465,がんじょう,せいしんりょく,かたやぶり,1.4,51.0,False,False
